Start-Pos.  Length  LId  TId  QId   Packet-Type  Discardable  Truncatable
0x0018a6c9    3561    0    1    0     SliceData         Yes          No
0x0018b4b2      10    0    2    0     SliceData         Yes          No
0x0018b4bc    2544    0    2    0     SliceData         Yes          No
0x0018beac      10    0    2    0     SliceData         Yes          No
0x0018beb6    1692    0    2    0     SliceData         Yes          No
0x0018c552      10    0    0    0     SliceData          No          No
0x0018c55c   21980    0    0    0     SliceData          No          No
0x00191b38      10    0    1    0     SliceData         Yes          No
0x00191b42    3320    0    1    0     SliceData         Yes          No
0x0019283a      10    0    2    0     SliceData         Yes          No
0x00192844    1491    0    2    0     SliceData         Yes          No
0x00192e17      10    0    2    0     SliceData         Yes          No
0x00192e21    1643    0    2    0     SliceData         Yes          No
0x0019348c      10    0    0    0     SliceData          No          No
0x00193496   24764    0    0    0     SliceData          No          No
0x00199552      10    0    1    0     SliceData         Yes          No
0x0019955c    4890    0    1    0     SliceData         Yes          No
0x0019a876      10    0    2    0     SliceData         Yes          No
0x0019a880    2603    0    2    0     SliceData         Yes          No
0x0019b2ab      10    0    2    0     SliceData         Yes          No
0x0019b2b5    2394    0    2    0     SliceData         Yes          No
0x0019bc0f      10    0    0    0     SliceData          No          No
0x0019bc19   15925    0    0    0     SliceData          No          No
0x0019fa4e      10    0    1    0     SliceData         Yes          No
0x0019fa58    5653    0    1    0     SliceData         Yes          No
0x001a106d      10    0    2    0     SliceData         Yes          No
0x001a1077    3146    0    2    0     SliceData         Yes          No
0x001a1cc1      10    0    2    0     SliceData         Yes          No
0x001a1ccb    2820    0    2    0     SliceData         Yes          No
0x001a27cf      10    0    0    0     SliceData          No          No
0x001a27d9    8312    0    0    0     SliceData          No          No
0x001a4851      10    0    1    0     SliceData         Yes          No
0x001a485b    6655    0    1    0     SliceData         Yes          No
0x001a625a      10    0    2    0     SliceData         Yes          No
0x001a6264    3528    0    2    0     SliceData         Yes          No
0x001a702c      10    0    2    0     SliceData         Yes          No
0x001a7036    4194    0    2    0     SliceData         Yes          No
0x001a8098      10    0    0    0     SliceData          No          No
0x001a80a2    8092    0    0    0     SliceData          No          No
0x001aa03e      10    0    1    0     SliceData         Yes          No
0x001aa048    5175    0    1    0     SliceData         Yes          No
0x001ab47f      10    0    2    0     SliceData         Yes          No
0x001ab489    4299    0    2    0     SliceData         Yes          No
0x001ac554      10    0    2    0     SliceData         Yes          No
0x001ac55e    3745    0    2    0     SliceData         Yes          No
0x001ad3ff      10    0    0    0     SliceData          No          No
